compound_name,smiles,molecular_weight,log_p,tpsa,h_bond_donors,h_bond_acceptors,log_kp_measured,n_measurements,measurement_spread,in_domain,source,doi
Parathion,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,291.27,3.27,70.83,0,6,-3.724,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1006/taap.2000.9028
Phenobarbital,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,232.24,0.7,75.27,2,3,-3.344,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/0378-5173(87)90210-9
Phenol,Oc1ccccc1,94.11,1.39,20.23,1,1,-2.044,2,0.028,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/S0928-0987(02)00085-4; 10.1111/j.2042-7158.1977.tb11434.x
Phloroglucinol,Oc1cc(O)cc(O)c1,126.11,0.8,60.69,3,3,-2.51,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/S0928-0987(02)00085-4
Prednisolone,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,360.45,1.56,94.83,3,5,-4.35,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1007/bf01061455
Pregnenolone,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,316.49,4.52,37.3,1,2,-2.824,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1038/jid.1969.9
Progesterone,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,314.47,4.72,34.14,0,2,-1.792,4,1.301,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1002/jps.2600840607; 10.1002/jps.2600840922; 10.1023/A:1007547809430; 10.1038/jid.1969.9
Propoxur,CNC(=O)Oc1ccccc1OC(C)C,209.24,2.19,47.56,1,3,-2.339,4,0.527,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1007/s00420-005-0056-5
Propranolol,CC(C)NCC(O)COc1cccc2ccccc12,259.35,2.58,41.49,2,3,-2.75,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/S0378-5173(99)00380-4
Propranolol-HCl,CC(C)NCC(O)COc1cccc2ccccc12.Cl,295.81,3.0,41.49,2,3,-7.88,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1023/a:1015824100788
Propylparaben,CCCOC(=O)c1ccc(O)cc1,180.2,1.96,46.53,1,3,-1.854,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/j.yrtph.2010.02.008
Pyrogallol,Oc1cccc(O)c1O,126.11,0.8,60.69,3,3,-2.81,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/S0928-0987(02)00085-4
Ranitidine,CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,314.41,1.46,83.58,2,7,-4.052,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1002/jps.10312
Resorcinol,Oc1cccc(O)c1,110.11,1.1,40.46,2,2,-3.345,2,0.55,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/S0928-0987(02)00085-4; 10.1111/j.2042-7158.1977.tb11434.x
Salicylic acid,O=C(O)c1ccccc1O,138.12,1.09,57.53,2,2,-2.432,6,2.42,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/0378-5173(87)90210-9; 10.1016/S0378-5173(00)00665-7; 10.1016/S0378-5173(98)00113-6; 10.1016/S0928-0987(00)00091-9; 10.1016/j.yrtph.2010.02.008; 10.1023/A:1016096626810
Scopolamine,CN1[C@@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,303.36,0.92,62.3,1,5,-4.985,4,1.276,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1002/aic.690210522
Sufentanil,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,386.56,4.21,32.78,0,4,-1.818,11,1.876,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1023/A:1015912932416; 10.1023/A:1015944018555
Terbinafine,CN(CC=CC#CC(C)(C)C)Cc1cccc2ccccc12,291.44,4.88,3.24,0,1,-6.0,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/S0378-5173(00)00665-7
Testosterone,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,288.43,3.88,37.3,1,2,-2.222,16,2.958,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1002/jps.2600840607; 10.1007/bf01061455; 10.1007/s00420-005-0056-5; 10.1016/S0928-0987(00)00091-9; 10.1016/j.yrtph.2010.02.008; 10.1016/s0168-3659(01)00443-6; 10.1021/js960079z; 10.1023/A:100754780
