compound_name,smiles,molecular_weight,log_p,tpsa,h_bond_donors,h_bond_acceptors,log_kp_measured,n_measurements,measurement_spread,in_domain,source,doi
2-Naphthol,Oc1ccc2ccccc2c1,144.17,2.55,20.23,1,1,-1.378,2,0.354,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1007/s11095-009-9912-4; 10.1111/j.2042-7158.1977.tb11434.x
2-Nitro-p-Phenylenediamine,Nc1ccc(N)c([N+](=O)[O-])c1,153.14,0.76,95.18,2,4,-3.301,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1111/1523-1747.ep12263302
2-Phenylethanol,OCCc1ccccc1,122.17,1.22,20.23,1,1,-1.72,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1007/s11095-010-0181-z
2-Phenylphenol,Oc1ccccc1-c1ccccc1,170.21,3.06,20.23,1,1,-2.268,2,1.061,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1006/rtph.2001.1530
2-Propoxyethanol,CCCOCCO,104.15,0.41,29.46,1,2,-2.987,3,3.731,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/0272-0590(92)90086-W; 10.1016/j.tiv.2004.03.004
2-phenoxyethanol,OCCOc1ccccc1,138.17,1.06,29.46,1,2,-2.874,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/s0278-6915(97)00109-9
"3,4-Xylenol",Cc1ccc(O)cc1C,122.17,2.01,20.23,1,1,-1.444,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1111/j.2042-7158.1977.tb11434.x
"4,4'-Methylenedianiline",Nc1ccc(Cc2ccc(N)cc2)cc1,198.27,2.44,52.04,2,2,-2.663,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/j.tox.2003.11.004
4-Amino-2-Nitrophenol,Nc1ccc(O)c([N+](=O)[O-])c1,154.12,0.88,89.39,2,4,-3.309,2,1.513,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1111/1523-1747.ep12263302
4-Chloro-m-Phenylenediamine,Nc1ccc(Cl)c(N)c1,142.59,1.5,52.04,2,2,-2.678,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1111/1523-1747.ep12263302
4-Cyanophenol,N#Cc1ccc(O)cc1,119.12,1.26,44.02,1,2,-2.175,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1159/000272121
4-Hydroxybenzyl alcohol,OCc1ccc(O)cc1,124.14,0.88,40.46,2,2,-2.699,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1111/1523-1747.ep12277592
4-Hydroxyphenylacetamide,NC(=O)Cc1ccc(O)cc1,151.16,0.42,63.32,2,2,-3.347,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1111/1523-1747.ep12277592
4-Hydroxyphenylacetic acid,O=C(O)Cc1ccc(O)cc1,152.15,1.02,57.53,2,2,-2.602,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1111/1523-1747.ep12277592
4-Propoxyphenol,CCCOc1ccc(O)cc1,152.19,2.18,29.46,1,2,-1.824,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1007/s11095-009-9912-4
5-Aminolevulinic acid,NCC(=O)CCC(=O)O,131.13,-0.62,80.39,2,3,-4.155,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1002/bip.21520
5-Fluorouracil,O=c1[nH]cc(F)c(=O)[nH]1,130.08,-0.8,65.72,2,2,-4.018,3,0.718,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/0378-5173(92)90032-W; 10.1023/a:1015824100788; 10.1111/1523-1747.ep12874561
Acetic acid,CC(=O)O,60.05,0.09,37.3,1,1,-2.523,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/j.yrtph.2010.02.008
Acetylsalicylic Acid,CC(=O)Oc1ccccc1C(=O)O,180.16,1.31,63.6,1,3,-2.14,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/S0378-5173(98)00113-6
Aldosterone,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@]2(C=O)[C@@H](C(=O)CO)CC[C@@H]12,360.45,1.85,91.67,2,5,-4.412,4,1.286,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1002/jps.2600840922; 10.1023/A:1007547809430; 10.1023/A:1016096626810; 10.1038/jid.1969.9
Amobarbital,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,226.28,1.18,75.27,2,3,-2.645,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/0378-5173(87)90210-9
Amphetamine,CC(N)Cc1ccccc1,135.21,1.58,26.02,1,1,-2.944,2,3.817,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1111/1523-1747.ep12598596
Atenolol,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,266.34,0.45,84.58,3,4,-4.301,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/S0378-5173(99)00380-4
Atropine,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,289.38,1.93,49.77,1,4,-4.599,2,0.959,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1002/aic.690210522; 10.1016/S0378-5173(98)00113-6
Barbital,CCC1(CC)C(=O)NC(=O)NC1=O,184.19,0.16,75.27,2,3,-3.953,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/0378-5173(87)90210-9
Benzene,c1ccccc1,78.11,1.69,0.0,0,0,-0.875,2,0.159,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1002/jps.2600840607; 10.1111/1523-1747.ep12277325
Benzoic acid,O=C(O)c1ccccc1,122.12,1.38,37.3,1,1,-1.859,2,0.519,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/S0378-5173(98)00113-6; 10.1016/j.yrtph.2010.02.008
Benzyl nicotinate,O=C(OCc1ccccc1)c1cccnc1,213.24,2.44,39.19,0,3,-1.792,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1002/jps.2600800114
Betamethasone,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,392.47,1.9,94.83,3,5,-3.597,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1002/jps.2600821017
Betamethasone-17-valerate,CCCCC(=O)OC1(C(=O)CO)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,476.59,3.64,100.9,2,6,-2.454,2,0.971,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1002/jps.2600821017; 10.1007/bf01061455
Bisoprolol Fumarate,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1.O=C(O)/C=C/C(=O)O,441.52,2.08,134.55,4,7,-3.569,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/S0378-5173(98)00214-2
Bisphenol A diglycidyl ether,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,340.42,3.57,43.52,0,4,-6.319,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1080/004982500237488
Bromoacetic acid,O=C(O)CBr,138.95,0.47,37.3,1,1,-2.854,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1006/taap.2002.9494
Bromochloroacetic acid,O=C(O)C(Cl)Br,173.39,1.03,37.3,1,1,-2.796,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1006/taap.2002.9494
Bromochloroacetonitrile,N#CC(Cl)Br,154.39,1.47,23.79,0,1,-0.796,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1002/jat.1657
Bromodichloromethane,ClC(Cl)Br,163.83,2.14,0.0,0,0,-0.745,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1006/taap.2002.9494
Bromoform,BrC(Br)Br,252.73,2.45,0.0,0,0,-0.678,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1006/taap.2002.9494
Butan-2-one,CCC(C)=O,72.11,0.99,17.07,0,1,-2.347,2,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1038/jid.1967.11; 10.1038/jid.1967.184
Butobarbital,CCCCC1(CC)C(=O)NC(=O)NC1=O,212.25,0.94,75.27,2,3,-3.712,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/0378-5173(87)90210-9
Butoxyethanol,CCCCOC(C)O,118.18,1.14,29.46,1,2,-2.444,3,0.382,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1007/s00420-005-0056-5; 10.1016/j.yrtph.2010.02.008
Butyl 4-hydroxybenzoat,CCCCOC(=O)c1ccc(O)cc1,194.23,2.35,46.53,1,3,-0.982,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1002/jps.20773
Butyl nicotinate,CCCCOC(=O)c1cccnc1,179.22,2.04,39.19,0,3,-1.779,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1002/jps.2600800114
Butyl p-aminobenzoate,CCCCOC(=O)c1ccc(N)cc1,193.25,2.23,52.32,1,3,-0.952,2,0.197,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1002/jps.2600821217
Carvacrol,Cc1ccc(C(C)C)cc1O,150.22,2.82,20.23,1,1,-1.27,2,0.032,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1007/s11095-009-9912-4; 10.1007/s11095-010-0181-z
Catechol,Oc1ccccc1O,110.11,1.1,40.46,2,2,-2.51,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/S0928-0987(02)00085-4
Celiprolol Hydrochloride,CCN(CC)C(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(C(C)=O)c1.Cl,415.96,3.31,90.9,3,5,-3.229,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/S0378-5173(98)00214-2
Chloral hydrate,OC(O)C(Cl)(Cl)Cl,165.4,0.67,40.46,2,2,-2.409,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1002/jat.1657
Chloroacetic acid,O=C(O)CCl,94.5,0.31,37.3,1,1,-2.959,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1006/taap.2002.9494
Chloroacetonitrile,N#CCCl,75.5,0.75,23.79,0,1,-1.005,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1002/jat.1657
Chlorocresol,Cc1c(O)cccc1Cl,142.58,2.35,20.23,1,1,-1.352,2,0.184,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1007/s11095-009-9912-4; 10.1111/j.2042-7158.1977.tb11434.x
Chlorodibromomethane,ClC(Br)Br,208.28,2.3,0.0,0,0,-0.699,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1006/taap.2002.9494
Chloroform,ClC(Cl)Cl,119.38,1.99,0.0,0,0,-0.796,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1006/taap.2002.9494
Chloroxylenol,Cc1ccc(Cl)c(O)c1C,156.61,2.66,20.23,1,1,-1.162,2,0.134,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1007/s11095-009-9912-4; 10.1111/j.2042-7158.1977.tb11434.x
Chlorpheniramine,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,274.8,3.82,16.13,0,2,-2.797,2,0.275,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1002/aic.690210522
Chlorpyrifos,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,350.59,4.72,40.58,0,5,-3.602,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1191/096032700678815684
Clotrimazole,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,344.85,5.38,17.82,0,1,-5.699,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/S0378-5173(00)00665-7
Codeine,COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,299.37,1.5,41.93,1,4,-4.31,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1023/A:1015944018555
Cortexolone,CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(O)C(=O)CO,346.47,2.81,74.6,2,4,-4.125,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1038/jid.1969.9
Cortexone,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO,330.47,3.7,54.37,1,3,-3.347,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1038/jid.1969.9
Corticosterone,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO,346.47,2.67,74.6,2,4,-4.0,6,1.127,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1002/jps.2600840607; 10.1007/bf01061455; 10.1021/js960079z; 10.1023/A:1007547809430; 10.1023/A:1016096626810; 10.1038/jid.1969.9
Cortisone,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,360.45,1.99,91.67,2,5,-4.412,2,1.176,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/j.yrtph.2010.02.008; 10.1038/jid.1969.9
Dexamethasone,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,392.47,1.9,94.83,3,5,-4.194,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1021/js960079z
Diazinon,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,304.35,3.58,53.47,0,6,-2.061,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/j.yrtph.2010.02.008
Dibromoacetic acid,O=C(O)C(Br)Br,217.84,1.19,37.3,1,1,-2.585,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1006/taap.2002.9494
Dibromoacetonitrile,N#CC(Br)Br,198.84,1.63,23.79,0,1,-0.77,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1002/jat.1657
Dibutyl Phthalate,CCCCOC(=O)c1ccccc1C(=O)OCCCC,278.35,3.6,52.6,0,4,-5.639,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1289/ehp.8774223
Dichloroacetic acid,O=C(O)C(Cl)Cl,128.94,0.87,37.3,1,1,-2.722,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1006/taap.2002.9494
Dichloroacetonitrile,N#CC(Cl)Cl,109.94,1.31,23.79,0,1,-0.824,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1002/jat.1657
Diclofenac,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,296.15,4.36,49.33,2,2,-3.0,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/S0378-5173(98)00113-6
Diethyl Phthalate,CCOC(=O)c1ccccc1C(=O)OCC,222.24,2.04,52.6,0,4,-4.943,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1289/ehp.8774223
Diethyl ether,CCOCC,74.12,1.04,9.23,0,1,-1.782,2,0.027,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1038/jid.1967.11; 10.1038/jid.1967.184
Diethylcarbamazine,CCN(CC)C(=O)N1CCN(C)CC1,199.3,0.7,26.79,0,2,-3.903,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1002/aic.690210522
Diethylene glycol mono n-butyl ether acetate,CCCCOCCOCCOC(C)=O,204.27,1.38,44.76,0,4,-3.858,2,0.727,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/j.tiv.2004.03.004
Diethylene glycol monobutyl ether,CCCCOCCOCCO,162.23,0.81,38.69,1,3,-2.203,2,4.49,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/0272-0590(92)90086-W; 10.1289/ehp.8457193
Dimethyl Phthalate,COC(=O)c1ccccc1C(=O)OC,194.19,1.26,52.6,0,4,-4.479,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1289/ehp.8774223
Dimethylethylamine,CCN(C)C,73.14,0.57,3.24,0,1,-2.523,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1007/s004200050223
Dipropylene glycol mono methyl ether,COC(C)COC(C)CO,148.2,0.42,38.69,1,3,-4.028,2,0.138,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/j.tiv.2004.03.004
Ephedrine,CN[C@@H](C)[C@H](O)c1ccccc1,165.24,1.33,32.26,2,2,-2.222,4,0.548,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1002/aic.690210522
Epikote YX4000,Cc1cc(-c2cc(C)c(OCC3CO3)c(C)c2)cc(C)c1OCC1CO1,354.45,4.14,43.52,0,4,-7.328,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1080/004982500237488
Estradiol,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,272.39,3.61,40.46,2,2,-2.411,15,2.264,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1002/aic.690210522; 10.1002/jps.2600840607; 10.1002/jps.2600840922; 10.1016/0168-3659(93)90170-A; 10.1016/0378-5173(92)90032-W; 10.1021/js960079z; 10.1023/A:1007547809430; 10.1023/A:1016096626810; 
Estriol,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@@H]2O,288.39,2.58,60.69,3,3,-4.398,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1038/jid.1969.9
Estrone,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,270.37,3.82,37.3,1,2,-2.444,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1038/jid.1969.9
Ethacrynic acid,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,303.14,3.61,63.6,1,3,-3.824,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/j.yrtph.2010.02.008
Ethanol,CCO,46.07,-0.0,20.23,1,1,-2.796,11,3.426,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1038/jid.1964.174; 10.1038/jid.1965.140; 10.1046/j.1523-1747.2003.12131.x; 10.1111/1523-1747.ep12475447; 10.1111/1523-1747.ep12723090; 10.1152/physrev.1971.51.4.702
Ethyl 3-ethoxypropionate,CCOCCC(=O)OCC,146.19,0.98,35.53,0,3,0.443,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/0272-0590(92)90086-W
Ethyl nicotinate,CCOC(=O)c1cccnc1,151.16,1.26,39.19,0,3,-2.199,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1002/jps.2600800114
Ethyl p-aminobenzoate,CCOC(=O)c1ccc(N)cc1,165.19,1.45,52.32,1,3,-1.699,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1002/jps.2600821217
Ethylene glycol mono isopropyl ether,CC(C)OCCO,104.15,0.4,29.46,1,2,-3.463,2,0.212,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/j.tiv.2004.03.004
Ethylene glycol mono methyl ether acetate,COCCOC(C)=O,118.13,0.2,35.53,0,3,-2.912,2,0.338,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/j.tiv.2004.03.004
Etodolac,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,287.36,3.38,62.32,2,2,-2.127,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1002/jps.10312
Etorphine,CCCC(C)(O)C1CC23C=CC1(OC)C1Oc4c(O)ccc5c4C12CCN(C)C3C5,411.54,3.16,62.16,2,5,-2.444,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1023/A:1015877621976
Famotidine,NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1,337.46,-0.77,175.83,4,6,-4.789,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1002/jps.10312
Fentanyl,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,336.48,4.14,23.55,0,2,-1.973,12,2.066,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1002/aic.690210522; 10.1023/A:1015912932416; 10.1023/A:1015944018555
Flufenamic acid,O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1,281.23,4.15,49.33,2,2,-2.596,4,0.107,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1159/000112958
Fluocinonide,CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,494.53,2.94,99.13,1,7,-2.77,2,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1023/a:1015989929342
Flurbiprofen,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,244.27,3.68,37.3,1,1,-1.775,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/j.ijpharm.2005.05.030
Flurbiprofen glucoside,CC(C(=O)OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O)c1ccc(-c2ccccc2)c(F)c1,406.41,0.94,116.45,4,7,-2.921,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/j.ijpharm.2005.05.030
Flurbiprofen mannoside,CC(C(=O)OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O)c1ccc(-c2ccccc2)c(F)c1,406.41,0.94,116.45,4,7,-3.379,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/j.ijpharm.2005.05.030
Haloperidol,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,375.87,4.43,40.54,1,3,-3.474,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1248/cpb.49.1395
Histidine,N[C@@H](Cc1c[nH]cn1)C(=O)O,155.16,-0.64,92.0,3,3,-4.347,3,0.095,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/0378-5173(93)90321-6
Hydrocortisone,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,362.47,1.78,94.83,3,5,-3.973,10,2.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1002/jps.2600840922; 10.1007/bf01061455; 10.1016/0378-5173(87)90210-9; 10.1016/S0378-5173(00)00665-7; 10.1016/s0168-3659(01)00443-6; 10.1038/jid.1969.9
Hydrocortisone 21-(6-hydroxyhexanoate),C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)CCCCCO,476.61,2.89,121.13,3,7,-3.041,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1023/a:1015989929342
"Hydrocortisone 21-(N,N-dimethylsuccinamate)",CN(C)C(=O)CCC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,489.61,2.2,121.21,2,7,-4.174,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1023/a:1015989929342
